clc,code,name,brand,model,serial,location,status,import_date,warranty_end,description
CLCVN-P150,,Label printer,ZEBRA,Zebra ZT230 200 DPI,52J211801206,WH - MATERIAL,OK,,,
CLCVN-P151,,Label printer,ZEBRA,Zebra ZT230 300 DPI,52J193701762,Maintenance Room,OK,,,
CLCVN-P152,,Label printer,ZEBRA,Zebra ZT231 200 DPI,T3J243602368,PR100 - INV,OK,,,
CLCVN-P153,,Label printer,ZEBRA,Zebra ZT230 200 DPI,52J201601962,PR10 - FM2,OK,,,
CLCVN-P154,,Label printer,ZEBRA,Zebra ZT230 200 DPI,52J211801207,PR10 - FM1,OK,,,
CLCVN-P155,,Label printer,ZEBRA,Zebra ZT230 200 DPI,52J211801204,BM3,OK,,,
CLCVN-P156,,Label printer,ZEBRA,Zebra ZT231 200 DPI,52J211801201,Maintenance Room,OK,,,
CLCVN-P157,,Label printer,ZEBRA,Zebra ZT231 200 DPI,T3J242001252,PR150,OK,,,
CLCVN-P158,,Label printer,ZEBRA,Zebra ZT230 200 DPI,52J201601961,PR10 - FC EOC,OK,,,
CLCVN-P159,,Label printer,ZEBRA,Zebra ZT230 200 DPI,52J211801209,PR160-3 - OPEN BOX,OK,,,
CLCVN-P160,,Label printer,ZEBRA,Zebra ZT230 300 DPI,52J193701751,Maintenance Room,OK,,,
CLCVN-P161,,Label printer,ZEBRA,Zebra ZT230 200 DPI,52J211801202,TE20 - FA1,OK,,,
CLCVN-P162,,Label printer,ZEBRA,Zebra ZT230 200 DPI,52J211801214,TE20 - FA2,OK,,,
CLCVN-P163,,Label printer,ZEBRA,Zebra ZT230 200 DPI,52J211801190,TE20 - FA3,OK,,,
CLCVN-P164,,Label printer,ZEBRA,Zebra ZT230 300 DPI,52J193701761,PR140,OK,,,
CLCVN-P165,,Label printer,ZEBRA,Zebra ZT230 300 DPI,52J193600797,PR160-1,OK,,,
CLCVN-P166,,Label printer,ZEBRA,Zebra ZT230 300 DPI,52J193600805,PR160 - EOC,OK,,,
CLCVN-P167,,Label printer,ZEBRA,Zebra ZT230,52J193701765,PR160-1,OK,,,
CLCVN-P168,,Label printer,ZEBRA,Zebra ZT231 200 DPI,T3J242302015,Maintenance Room,NG,,,
CLCVN-P169,,Label printer,ZEBRA,Zebra ZT231 300 DPI,T3J240102135,PR100 - INV,OK,,,
CLCVN-P170,,Label printer,ZEBRA,Zebra ZT231 300 DPI,T3J241602587,PR140 - INV,OK,,,
CLCVN-P171,,Label printer,ZEBRA,Zebra ZT231 200 DPI,T3J242302061,PR90 - INV,OK,,,
CLCVN-P172,,Label printer,ZEBRA,Zebra ZT231 300 DPI,T3J240102180,PR130 - EOC,OK,,,
CLCVN-P173,,Label printer,ZEBRA,Zebra ZT231 200 DPI,T3J2420001292,BM5,OK,,,
CLCVN-P174,,Label printer,ZEBRA,Zebra ZT231 200 DPI,T3J242301999,BM2,OK,,,
